AadhaarID,Name,Sex,Address,DOB,TotalTransactionAmount,AverageTransaction,MaxTransaction,MinTransaction,TransactionCount,Fraudulent
6.34065E+11,Dhanuk Deo,Male,"H.No. 22, Karpe, Cuttack 296718",04-05-1980,204696.02,22744,47967.86,117.65,9,No
2.72363E+11,Kashvi Khare,Male,"H.No. 73, Deo Zila, Gwalior-833117",15-07-1948,227091.94,28386.49,48171.53,6261.22,8,No
4.50185E+11,Abram Sampath,Female,"37, Garde Zila, Gudivada-472812",29-04-1959,183206.84,30534.47,44023.32,7768.46,6,No
4.06418E+11,Veer Kara,Other,"146, Sankar Street, Gangtok-271130",12-04-2005,187046.84,31174.47,47990.75,4519.79,6,No
7.66014E+11,Kabir Deol,Female,"87/541, Basak Circle, Chinsurah 268685",21-01-1948,122980.23,20496.71,35683.47,745.01,6,No
4.179E+11,Purab Goyal,Male,"66/343, Chakrabarti Marg, Bettiah 861031",19-05-1959,372342.71,26595.91,48339.81,2089.26,14,No
7.98066E+11,Baiju Wason,Male,"181, Chowdhury Road, Katni 134732",27-11-1997,297269.33,33029.93,48681.62,12510.18,9,No
7.05742E+11,Shray Ray,Male,"01/289, Shankar Chowk, Mathura 512257",02-02-1954,336127.26,28010.6,42846.65,5154.78,12,No
2.63476E+11,Nitya Khalsa,Male,"H.No. 241, Sane Street, Hindupur-790737",18-11-1951,125592.98,20932.16,32151.16,9570.51,6,No
2.69131E+11,Advik Mander,Other,"82/21, Doshi Zila, Bidhannagar 584745",28-08-1975,301667.95,30166.79,49972,4202.36,10,No
7.03824E+11,Sumer Dora,Female,"H.No. 480, Jha Street, Ajmer 703965",23-06-1958,417018.31,27801.22,49918.79,7354.3,15,Yes
6.45466E+11,Kartik Gulati,Other,"87/824, Wali Path, Katni 443098",13-03-1992,212284.07,30326.3,45882.22,4921.41,7,No
8.78519E+11,Manjari Bhat,Other,"54/10, Sani Chowk, Kirari Suleman Nagar-849824",26-07-1977,127725.99,25545.2,49789.85,3326.42,5,No
87805721514,Chirag Sura,Other,"03, Tella Road, Meerut 406500",19-07-1961,309283.1,34364.79,49311.71,10838.69,9,No
8.45399E+11,Stuvan Vyas,Other,"H.No. 423, Master Marg, Ramagundam 075366",07-08-1971,139289.41,27857.88,48869.96,6072.2,5,No
8.62339E+11,Pranay Dora,Male,"65/92, Dass Ganj, Erode 441497",31-07-1981,198234.94,33039.16,47456.59,19433.81,6,No
2.52145E+11,Uthkarsh Srinivas,Female,"875, Sani Circle, Bhind-676670",15-07-2006,213881.83,19443.8,43977.13,3138.95,11,No
1.20801E+11,Tiya Kade,Female,"43/98, Bhatt Path, Meerut 260787",18-07-2001,125872.69,20978.78,47790.01,9171.16,6,No
2.95927E+11,Dharmajan Bala,Male,"H.No. 91, Mandal Road, Bathinda 198038",31-03-1954,314725.34,24209.64,46758.12,5076.11,13,No
5.78672E+11,Himmat Choudhury,Male,"40/793, Bandi Zila, Jamnagar-813317",11-02-1946,367370.87,30614.24,46064.12,5029.14,12,No
5.89989E+11,Vihaan Bala,Female,"72, Trivedi Ganj, Pudukkottai 916202",29-01-1954,174847.56,21855.94,31354.33,14718.66,8,No
6.47408E+11,Jayan Kumer,Other,"44, Raja Zila, Arrah-661766",09-07-1954,171211.37,24458.77,48212.94,2455.66,7,No
68828503172,Raunak Karnik,Male,"H.No. 940, Kapadia, Raichur 774025",04-07-1978,194905.38,19490.54,46223.18,336.47,10,No
3.52636E+11,Stuvan Zacharia,Other,"259, Karpe Path, Alwar-617679",12-04-1989,447723.36,29848.22,47019.61,610.35,15,Yes
7.49061E+11,Kashvi Sathe,Male,"59/959, Thakkar, Jabalpur 023117",31-08-1990,316842.55,26403.55,47770.33,3418.37,12,No
6.31873E+11,Samarth Sidhu,Male,"H.No. 266, Balasubramanian Zila, Raipur-175902",17-04-1966,141314.27,17664.28,36943.48,1997.76,8,No
7.90834E+11,Rasha Kar,Female,"98/334, Kanda Chowk, Kamarhati-268319",01-02-1946,105228.82,15032.69,32242.34,3276.1,7,No
2.35707E+11,Lagan Badal,Male,"H.No. 69, Venkatesh Circle, Mau-873397",09-07-1978,115328.55,16475.51,36052.07,971.34,7,No
283231709142,Talmur Ranganathan,Other,"66, Mane Zila, Warangal-117309",22-03-1981,152483.06,25413.84,42864.45,1087.69,6,No
7.96497E+11,Akarsh Choudhury,Other,"51, Dhawan Street, Deoghar 898469",16-04-1948,323657.79,26971.48,48155.68,8099.8,12,No
6.42077E+11,Keya Keer,Female,"H.No. 564, Ganesh Ganj, Kolhapur 850371",06-04-1999,292377.76,26579.8,47623.47,6742.42,11,No
9.39579E+11,Shray Banik,Female,"72/40, Badami Zila, Guna-567430",15-03-1948,207075.53,34512.59,47791.07,20664.68,6,No
3.35827E+11,Urvi Srinivas,Female,"08/706, Sarin Marg, Chinsurah-821719",03-12-2005,346357.31,24739.81,46569.5,6614.7,14,No
9.80111E+11,Sumer Chatterjee,Female,"H.No. 331, Ahluwalia, Haridwar 030102",13-04-1974,218612.99,27326.62,47902.03,3394.55,8,No
5.24418E+11,Raunak Bains,Other,"34/29, Khatri Marg, Solapur 483753",15-08-1974,337640.83,30694.62,49166.82,7417.65,11,No
2.67672E+11,Tejas Sridhar,Male,"45/88, Bala Zila, Bulandshahr 413283",10-03-1965,359712.61,29976.05,49391.98,3537.61,12,No
3.5416E+11,Gatik Grewal,Female,"771, Krish Nagar, Gopalpur-964104",04-08-2002,195584.98,21731.66,45804.66,2695.35,9,No
7.65047E+11,Bhamini Andra,Male,"03, Gupta Ganj, Chinsurah-408509",12-10-1995,378541.02,27038.64,47151.02,1058.69,14,No
4.83744E+11,Prerak Tailor,Male,"H.No. 96, Srinivas Marg, Moradabad-487699",07-10-1996,155161.43,22165.92,40330.71,3813.29,7,No
1.00591E+11,Ishaan Halder,Male,"044, Dash Zila, Naihati-094544",06-09-1997,91447.36,18289.47,37328.6,4149.66,5,No
1.0633E+11,Gatik Dube,Male,"770, Agrawal Chowk, Vadodara 783609",07-11-1949,197442.93,16453.58,43263.91,415.04,12,No
3.11325E+11,Manjari Majumdar,Female,"24, Dayal Road, Warangal 229031",25-12-1988,259649.89,19973.07,45144.4,448.46,13,No
96170159591,Kabir Sani,Other,"H.No. 830, Dave Road, Nagercoil-935118",22-08-1974,233731.15,25970.13,40567.17,15082.33,9,No
3.92057E+11,Diya Barad,Female,"H.No. 95, Banik Marg, Ichalkaranji-059556",03-07-2005,139553.22,19936.17,49489.13,1321.54,7,No
881861836718,Anay Ba,Female,"H.No. 04, Rajagopal Street, Aligarh 588953",21-03-1970,277015.5,23084.62,47764.27,1181.87,12,No
2.70512E+11,Nirvi Seshadri,Other,"11/398, Rau, Siwan-809788",13-06-1974,235779.32,19648.28,40200.74,747.08,12,No
2.59711E+11,Priyansh Chatterjee,Other,"H.No. 35, Kari Ganj, Bhiwandi 765158",05-11-1978,262261.32,32782.67,45516.29,14098.51,8,No
3.2594E+11,Taran Sachdeva,Male,"63, Thaker, Siwan-692944",06-09-1967,263992.02,26399.2,47917.81,4157.25,10,No
7.63425E+11,Fateh Baria,Female,"29/73, Vora Street, Kanpur-164871",14-01-1953,398723.76,28480.27,49265.7,6106.08,14,No
3.88437E+11,Adah Arora,Female,"886, Goel Marg, Rewa-415599",26-05-1986,112209.21,22441.84,38812.27,1538.18,5,No
2.7683E+11,Saira Bajaj,Male,"67, Dhillon Marg, Guntur 981209",17-10-1984,344241.89,24588.71,47809.67,6283.36,14,No
5.9046E+11,Pari Sachar,Male,"H.No. 72, Sen Circle, Jalandhar-475098",01-07-2005,79021.66,13170.28,35721.3,4683.78,6,No
5.51652E+11,Reyansh Edwin,Other,"203, Lad Marg, Ramgarh-154214",27-01-1963,216745.83,19704.17,43446.39,1308.84,11,No
3.70033E+11,Advika Choudhury,Other,"H.No. 91, Sama Ganj, Ajmer-388209",08-11-2005,260718.35,17381.22,44094.18,1273.31,15,No
2.63281E+11,Hrishita Luthra,Female,"05, Dhaliwal Ganj, Raiganj-741176",01-01-1978,199405.17,28486.45,44906.61,9869.04,7,No
166255922412,Dhruv Venkatesh,Other,"15/131, Brar Path, Bally-815061",02-06-1992,254801.45,31850.18,44343.94,10087.12,8,No
39438040325,Kanav Trivedi,Male,"296, Samra Ganj, Bilaspur 272742",13-12-1957,342742.47,28561.87,49340.38,8346.34,12,No
9.1009E+11,Ela Varty,Other,"17, Ramaswamy Circle, Mangalore-649693",01-11-1987,307924.75,21994.62,48549.92,1846.14,14,No
3.1072E+11,Anya Lanka,Female,"477, Ram Marg, Tinsukia-413146",13-11-1974,140668.06,15629.78,34620.9,1225.69,9,No
7.6209E+11,Nishith Saini,Male,"751, Sarin Path, Warangal-796304",02-09-1962,378501.04,25233.4,47612.11,197.23,15,No
9.57783E+11,Vardaniya Jayaraman,Other,"H.No. 56, Tailor Marg, Khandwa 404735",26-09-1987,362992.31,24199.49,44250.14,8780.74,15,No
935520153485,Ryan Kapur,Other,"28/31, Ramaswamy, Bikaner-061558",03-10-1948,262115.08,37445.01,48863.88,19877.87,7,No
1.88082E+11,Ela Cheema,Other,"863, Suresh Road, Dindigul 638300",21-12-2001,264575.4,26457.54,46852.71,11031.66,10,No
1.37231E+11,Tanya Lall,Male,"02, Dora Road, Berhampur 041662",14-02-2000,220019.23,20001.75,47582.37,909.38,11,No
7.16561E+11,Dharmajan Barad,Female,"H.No. 089, Batta Street, Jammu 568044",01-09-1975,340529.94,30957.27,48852.97,12863.53,11,No
8.16996E+11,Divyansh Deo,Female,"H.No. 61, Jani Ganj, Karawal Nagar-883607",12-12-1993,271258.93,30139.88,49201.61,4239.94,9,No
54873961029,Umang Singh,Other,"906, Kapoor Ganj, Morena 452118",15-12-1955,152313.36,30462.67,46783.36,22277.06,5,No
6.80492E+11,Ayesha Rajagopalan,Male,"697, Sengupta Circle, Allahabad-464520",24-04-1966,231591.1,25732.34,48431.38,3933.35,9,No
2.60424E+11,Aarush Desai,Male,"75/35, Sathe Chowk, Kottayam-161620",20-06-1955,194945.66,27849.38,47338.95,7046.34,7,No
85816704686,Ivan Chaudhary,Male,"H.No. 672, Kohli Circle, Motihari-604164",06-06-1993,143049.39,23841.56,43901.27,4453.42,6,No
2.10219E+11,Elakshi Edwin,Female,"483, Saxena, Kadapa 773522",14-02-1980,205233.54,17102.79,39520.91,658.56,12,No
1.8498E+11,Aayush Dutt,Male,"710, Sarna Road, Kollam-875109",01-05-1976,360684.53,24045.64,49369.35,3492.9,15,No
3.65346E+11,Darshit Gill,Male,"03/446, Sethi, Arrah-488319",23-10-1954,432156.36,28810.42,47474.46,11313.58,15,Yes
1.69062E+11,Sana Chokshi,Female,"H.No. 91, Sur Street, Bathinda 973203",02-03-1959,256506.89,28500.77,47429.95,15244.49,9,No
6.98999E+11,Zaina Rana,Other,"705, Wason Zila, Durgapur-675481",27-10-1960,339894.65,26145.74,48619.8,3240.43,13,No
5.8645E+11,Uthkarsh Soman,Other,"H.No. 48, Lanka Path, Mahbubnagar-242687",15-10-1977,409258.53,27283.9,43819.67,8753.44,15,Yes
3.67498E+11,Piya Bhasin,Female,"057, Seth Path, Kakinada-652037",01-01-1969,194701.66,32450.28,49194.99,263.03,6,No
7.78949E+11,Aarush Raj,Other,"H.No. 548, Raman Nagar, Visakhapatnam 760440",17-05-1983,246590.58,20549.22,42374.02,2819.66,12,No
1.6309E+11,Saanvi Keer,Female,"781, Goyal Nagar, Pudukkottai-221610",11-08-1974,189669,23708.62,42054.32,7669.97,8,No
5.32639E+11,Saksham Bava,Female,"90/552, Sen, Hazaribagh 660138",23-06-1954,285040.67,23753.39,45889.51,258.1,12,No
6.73312E+11,Dharmajan Chadha,Female,"H.No. 93, Jayaraman Circle, Delhi-485157",07-02-1983,148997.49,29799.5,44102.13,13658.99,5,No
8.55079E+11,Jivika Kata,Male,"H.No. 212, Rajagopal Path, Gulbarga 357134",01-06-2001,149649.27,24941.55,39424.69,10435.83,6,No
6.43437E+11,Siya Shroff,Female,"H.No. 642, Boase Road, Haridwar-343244",27-11-1991,116775.04,23355.01,36236.51,17324.69,5,No
6.16453E+11,Prerak Batra,Male,"55/87, Badami Street, Bhatpara-654358",22-12-1981,393586.3,28113.31,48960.16,2598.25,14,No
7.24264E+11,Divij Kunda,Male,"740, Kuruvilla Zila, Fatehpur-795596",27-03-1989,281060.23,35132.53,43604.21,14483.33,8,No
7.62304E+11,Samarth Sarna,Other,"H.No. 267, Ganguly Path, Gaya 427820",24-04-1974,130380.75,21730.12,38975.06,9028.31,6,No
52480880622,Kiara Mani,Male,"34, Rama Path, Karawal Nagar-403816",02-06-1973,251248.15,20937.35,43098.25,5582.82,12,No
1.62048E+11,Kashvi Iyer,Other,"24/98, Mander Ganj, Bikaner 014257",21-05-1971,391569.69,32630.81,48109.03,17761.38,12,No
3.19542E+11,Amira Acharya,Male,"441, Dalal Street, Junagadh-328507",13-04-1955,285991.63,28599.16,39708.65,7078.27,10,No
6.32037E+11,Divyansh Keer,Male,"67, Singh Ganj, Munger-526546",21-01-1985,285306.1,23775.51,47984.96,3998.36,12,No
4.58871E+11,Hazel Banik,Other,"90/392, Gour Ganj, Mau 996132",17-06-1978,131355.91,18765.13,37242.45,651.7,7,No
5.0766E+11,Azad Cherian,Male,"H.No. 562, Borra Marg, Bijapur 704622",15-07-1971,398057.94,30619.84,49932.36,7751.17,13,No
7.42232E+11,Anahita Swaminathan,Male,"16/025, Mani Street, Malda 766046",14-01-1962,221720.47,24635.61,49522.27,704.53,9,No
3.01205E+11,Lavanya Swamy,Male,"58, Bhalla Path, Khandwa-120594",19-11-1957,169901.15,28316.86,40603.32,17202.58,6,No
4.98856E+11,Adira Bajwa,Male,"H.No. 177, Bakshi Path, Nizamabad-540842",23-05-1964,239165.48,29895.69,49566.51,2659.2,8,No
9.44128E+11,Zeeshan Anand,Other,"H.No. 09, Gokhale Zila, Katihar-321812",23-11-1993,341859.59,26296.89,47429.73,2939.46,13,No
6.26706E+11,Myra Koshy,Female,"H.No. 79, Tella Ganj, Thane-550291",05-06-1970,291156.25,20796.88,42674.61,4207.28,14,No
1.20072E+11,Shayak Ray,Male,"02, Sen Road, Bhiwani 394498",15-02-1981,83015.72,16603.14,49816.15,4209.05,5,No
90326714949,Rania Sura,Other,"73/64, Devi Street, Mahbubnagar 244063",17-09-1945,134871.09,22478.51,41606.93,3340.63,6,No
8.17934E+11,Nirvi Bhattacharyya,Female,"95, Choudhry Zila, Surat 319497",11-06-1984,345672.03,26590.16,46531.81,1936.2,13,No
1.21722E+11,Myra Rajan,Other,"80, Garde Path, Sri Ganganagar 277382",27-03-1990,265017.61,22084.8,47134.68,1788.42,12,No
1.00463E+11,Onkar Jaggi,Female,"78/513, Goyal Circle, Jalna 770299",14-10-1955,300865.63,27351.42,47907.45,4751.5,11,No
23897432600,Jivika Kale,Other,"H.No. 87, Guha Ganj, Burhanpur-163319",16-02-1964,245399.2,24539.92,41233.77,236.59,10,No
8.4869E+11,Indranil Sinha,Other,"H.No. 36, Dewan, Mirzapur-588863",23-11-2002,404623.78,28901.7,46459.52,2321.23,14,Yes
5.93744E+11,Bhamini Shukla,Male,"22, Dhawan Marg, Katihar-721696",25-11-1972,285753.49,21981.04,47001.85,212.3,13,No
4.90794E+11,Kanav Ravi,Other,"998, Ram Zila, Lucknow 932971",20-08-1969,205232.98,20523.3,46560.99,809.15,10,No
2.44626E+11,Shanaya Rama,Other,"753, Keer Street, North Dumdum-410397",08-09-1975,302155.47,23242.73,47683.92,3392.52,13,No
8.87818E+11,Piya Ramachandran,Male,"781, Toor, Kozhikode-710068",08-06-1976,230040.45,20912.77,45702.61,1009.55,11,No
8.37506E+11,Devansh Srinivas,Male,"81/980, Khosla Chowk, Jalna-056876",08-01-1998,294077.44,36759.68,48809.25,24222.81,8,No
7.87655E+11,Ehsaan Bora,Other,"25/652, Sunder Ganj, Bhagalpur 151773",13-12-1995,158626.29,15862.63,37511.66,471.15,10,No
8.81928E+11,Shlok Divan,Male,"49, Rajan Road, Kolhapur-840359",13-02-1969,284771.37,18984.76,48207.49,2840.16,15,No
8.51745E+11,Ryan Sehgal,Other,"74, Sharaf Street, Siliguri-643039",20-01-1965,185882.73,30980.46,46577.37,4848.35,6,No
4.55129E+11,Keya Ahuja,Female,"88/679, Gera Street, Dharmavaram 856728",29-03-1977,406630.17,31279.24,46766.94,4075.19,13,Yes
6.15402E+11,Anya Yadav,Male,"15/343, Borde Ganj, Narasaraopet-357790",06-08-2001,290888.02,24240.67,46988.89,5283.3,12,No
73228360849,Seher Chaudhuri,Other,"15, Bandi Circle, Begusarai 079833",11-11-1961,171254.84,21406.85,41268.77,6896.9,8,No
9.69444E+11,Prisha Sachdev,Male,"72/094, Dewan Circle, Jhansi-284033",14-01-1961,90570.48,15095.08,32076.95,6496.73,6,No
1.32033E+11,Anahi Bawa,Male,"13/717, Khanna Zila, Salem 974909",06-09-1973,270041.69,19288.69,48864.78,240.6,14,No
4.73237E+11,Saira Wali,Female,"97/04, Rama Marg, Kumbakonam-587844",01-06-1962,123208.73,24641.75,41701.13,8014.39,5,No
7.84361E+11,Shlok Devan,Male,"H.No. 270, Warrior Path, Shimla 216417",28-09-1967,278429.87,23202.49,39306.19,8106.87,12,No
2.03764E+11,Kartik Sood,Other,"484, Sinha Path, Kota 939252",30-06-1957,244380.46,27153.38,44251.95,1112.95,9,No
4.439E+11,Vedika Chada,Male,"H.No. 87, Subramaniam, Agartala-474524",23-02-1967,277544.23,27754.42,38507.36,9449.86,10,No
4.937E+11,Shanaya Dugar,Male,"96, Agate Marg, Pimpri-Chinchwad-527403",20-08-1958,216228.95,27028.62,42904.04,16303.28,8,No
1.19236E+11,Ritvik Thaman,Male,"H.No. 66, Mallick Path, Thrissur 411325",17-08-1993,285320.21,19021.35,49489.75,683.72,15,No
3.9115E+11,Saira Rajagopalan,Male,"67/349, Guha, Salem-548574",29-12-1951,469086.39,31272.43,49613.62,104.64,15,Yes
8.2019E+11,Himmat Wable,Other,"62/294, Chaudhry, Bahraich 598488",21-01-2000,101508.58,14501.23,33116.9,6718.15,7,No
1.35462E+11,Prisha Apte,Female,"55/732, Kaur Path, Jaunpur-534490",25-12-1953,149367.26,29873.45,44655.73,5515.37,5,No
3.12616E+11,Nayantara Jha,Other,"08, Kunda Nagar, Pune-085874",22-07-1983,420394.69,30028.19,49861.16,7954.12,14,Yes
36468719120,Myra Bandi,Male,"18/28, Mangat Zila, Phagwara 164772",12-09-1988,337451.33,25957.79,47483.17,5746.93,13,No
9.81388E+11,Devansh Chand,Female,"60/69, Aggarwal Road, Surat 356243",15-03-1984,231296.85,23129.68,41911.28,2296.53,10,No
7.16816E+11,Hazel Karnik,Male,"92/323, Chana Road, Indore-285155",05-02-1960,156976.29,31395.26,43158,4273.33,5,No
